geometry,lon,lat
POINT (22.40058834700016 -15.143256789999548),22.40058834700016,-15.143256789999548
POINT (22.40058834700016 -15.133256789999542),22.40058834700016,-15.133256789999542
POINT (22.410588347000164 -15.15325678999955),22.410588347000164,-15.15325678999955
POINT (22.410588347000164 -15.143256789999548),22.410588347000164,-15.143256789999548
POINT (22.46058834700017 -15.033256789999532),22.46058834700017,-15.033256789999532
POINT (22.46058834700017 -15.02325678999953),22.46058834700017,-15.02325678999953
POINT (22.46058834700017 -15.013256789999526),22.46058834700017,-15.013256789999526
POINT (22.470588347000174 -15.033256789999532),22.470588347000174,-15.033256789999532
POINT (22.470588347000174 -15.02325678999953),22.470588347000174,-15.02325678999953
POINT (22.470588347000174 -15.013256789999526),22.470588347000174,-15.013256789999526
POINT (22.470588347000174 -15.003256789999524),22.470588347000174,-15.003256789999524
POINT (22.470588347000174 -14.993256789999524),22.470588347000174,-14.993256789999524
POINT (22.480588347000168 -15.02325678999953),22.480588347000168,-15.02325678999953
POINT (22.480588347000168 -15.013256789999526),22.480588347000168,-15.013256789999526
